year,exporter,import_quantity_10k_tonnes,import_value_100m_usd,unit_price_usd_per_ton,tariff_cn_on_exporter
2015,Argentina,450,16,399.0,0.03
2015,US,2750,110,399.0,0.03
2015,Brazil,4500,180,399.0,0.03
2016,Argentina,704.4302084197001,323.0710791,458.627519431299,0.03
2016,US,3000,120,400.0,0.03
2016,Brazil,3390.9426784663,1555.1795453,458.6274947010891,0.03
2017,Argentina,604.2413445916,268.3449005,444.10218350975526,0.03
2017,US,3290,126,382.0,0.03
2017,Brazil,4742.7414145559,2091.6040906,441.0116234000612,0.03
2018,Argentina,146.3948906,62.1202902,424.33373149431486,0.03
2018,US,1660,62,373.0,0.28
2018,Brazil,6608.165,2884.2575657,436.46875731765175,0.03
2019,Argentina,879.1149067,357.7309544,406.9217251051307,0.03
2019,US,2200,74,335.0,0.33
2019,Brazil,5767.515,2299.9907858,398.7836678014708,0.03
2020,Argentina,745.5869084,289.693757,388.544586467688,0.03
2020,US,2400,102,424.0,0.275
2020,Brazil,6427.744,2490.5769538,387.47295377662834,0.03
2021,Argentina,371.132,213.0194323,573.9721508789326,0.03
2021,US,2300,134,583.0,0.275
2021,Brazil,5806.3662,3309.0835929,569.9061131091067,0.03
2022,Argentina,351.7952036,233.4274372,663.5321767075962,0.03
2022,US,2100,128,609.0,0.275
2022,Brazil,5439.2840130052,3730.1387864,685.777535697957,0.03
2023,Argentina,199.2167381,124.4740437,624.8171960205386,0.03
2023,US,2240,153,598.0,0.275
2023,Brazil,6995.1201025,4099.7572531,586.0881861963712,0.03
2024,Argentina,410.1921126,208.2480281,507.6841355627763,0.03
2024,US,2200,126,550.0,0.13
2024,Brazil,7464.7380005,3645.5784932,488.3732681516503,0.03